league,year,series,team,games_won,games_played,won_series
mlb,2013,nlwc,Cincinnati Reds,0,1,0
mlb,2013,alwc,Cleveland Indians,0,1,0
mlb,2013,nlds,Atlanta Braves,1,4,0
mlb,2013,nlds,Pittsburgh Pirates,2,5,0
mlb,2013,nlcs,Los Angeles Dodgers,2,6,0
mlb,2013,alds,Tampa Bay Rays,1,4,0
mlb,2013,alds,Oakland Athletics,2,5,0
mlb,2013,alcs,Detroit Tigers,2,6,0
mlb,2013,ws,Boston Red Sox,0,0,1
mlb,2013,ws,St. Louis Cardinals,0,0,0
nfl,2012,sb,Baltimore Ravens,1,1,1
nfl,2011,sb,New York Giants,1,1,1
nfl,2010,sb,Green Bay Packers,1,1,1
nfl,2009,sb,New Orleans Saints,1,1,1
nfl,2008,sb,Pittsburgh Steelers,1,1,1
nfl,2007,sb,New York Giants,1,1,1
nfl,2006,sb,Indianapolis Colts,1,1,1
nfl,2005,sb,Pittsburgh Steelers,1,1,1
nfl,2004,sb,New England Patriots,1,1,1
nfl,2003,sb,New England Patriots,1,1,1
nfl,2002,sb,Tampa Bay Buccaneers,1,1,1
nfl,2001,sb,New England Patriots,1,1,1
nfl,2000,sb,Baltimore Ravens,1,1,1
nfl,1999,sb,St. Louis Rams,1,1,1
nfl,1998,sb,Denver Broncos,1,1,1
nfl,1997,sb,Denver Broncos,1,1,1
nfl,1996,sb,Green Bay Packers,1,1,1
nfl,1995,sb,Dallas Cowboys,1,1,1
nfl,1994,sb,San Francisco 49ers,1,1,1
nfl,1993,sb,Dallas Cowboys,1,1,1
nfl,1992,sb,Dallas Cowboys,1,1,1
nfl,1991,sb,Washington Redskins,1,1,1
nfl,1990,sb,New York Giants,1,1,1
nfl,1989,sb,San Francisco 49ers,1,1,1
nfl,1988,sb,San Francisco 49ers,1,1,1
nfl,1987,sb,Washington Redskins,1,1,1
nfl,1986,sb,New York Giants,1,1,1
nfl,1985,sb,Chicago Bears,1,1,1
nfl,1984,sb,San Francisco 49ers,1,1,1
nfl,1983,sb,Los Angeles Raiders,1,1,1
nfl,1982,sb,Washington Redskins,1,1,1
nfl,1981,sb,San Francisco 49ers,1,1,1
nfl,1980,sb,Oakland Raiders,1,1,1
nfl,1979,sb,Pittsburgh Steelers,1,1,1
nfl,1978,sb,Pittsburgh Steelers,1,1,1
nfl,1977,sb,Dallas Cowboys,1,1,1
nfl,1976,sb,Oakland Raiders,1,1,1
nfl,1975,sb,Pittsburgh Steelers,1,1,1
nfl,1974,sb,Pittsburgh Steelers,1,1,1
nfl,1973,sb,Miami Dolphins,1,1,1
nfl,1972,sb,Miami Dolphins,1,1,1
nfl,1971,sb,Dallas Cowboys,1,1,1
nfl,1970,sb,Baltimore Colts,1,1,1
nfl,1970,afc_champ,Baltimore Colts,1,1,1
nfl,1971,afc_champ,Miami Dolphins,1,1,1
nfl,1972,afc_champ,Miami Dolphins,1,1,1
nfl,1973,afc_champ,Miami Dolphins,1,1,1
nfl,1974,afc_champ,Pittsburgh Steelers,1,1,1
nfl,1975,afc_champ,Pittsburgh Steelers,1,1,1
nfl,1976,afc_champ,Oakland Raiders,1,1,1
nfl,1977,afc_champ,Denver Broncos,1,1,1
nfl,1978,afc_champ,Pittsburgh Steelers,1,1,1
nfl,1979,afc_champ,Pittsburgh Steelers,1,1,1
nfl,1980,afc_champ,Oakland Raiders,1,1,1
nfl,1981,afc_champ,Cincinnati Bengals,1,1,1
nfl,1982,afc_champ,Miami Dolphins,1,1,1
nfl,1983,afc_champ,Los Angeles Raiders,1,1,1
nfl,1984,afc_champ,Miami Dolphins,1,1,1
nfl,1985,afc_champ,New England Patriots,1,1,1
nfl,1986,afc_champ,Denver Broncos,1,1,1
nfl,1987,afc_champ,Denver Broncos,1,1,1
nfl,1988,afc_champ,Cincinnati Bengals,1,1,1
nfl,1989,afc_champ,Denver Broncos,1,1,1
nfl,1990,afc_champ,Buffalo Bills,1,1,1
nfl,1991,afc_champ,Buffalo Bills,1,1,1
nfl,1992,afc_champ,Buffalo Bills,1,1,1
nfl,1993,afc_champ,Buffalo Bills,1,1,1
nfl,1994,afc_champ,San Diego Chargers,1,1,1
nfl,1995,afc_champ,Pittsburgh Steelers,1,1,1
nfl,1996,afc_champ,New England Patriots,1,1,1
nfl,1997,afc_champ,Denver Broncos,1,1,1
nfl,1998,afc_champ,Denver Broncos,1,1,1
nfl,1999,afc_champ,Tennessee Titans,1,1,1
nfl,2000,afc_champ,Baltimore Ravens,1,1,1
nfl,2001,afc_champ,New England Patriots,1,1,1
nfl,2002,afc_champ,Oakland Raiders,1,1,1
nfl,2003,afc_champ,New England Patriots,1,1,1
nfl,2004,afc_champ,New England Patriots,1,1,1
nfl,2005,afc_champ,Pittsburgh Steelers,1,1,1
nfl,2006,afc_champ,Indianapolis Colts,1,1,1
nfl,2007,afc_champ,New England Patriots,1,1,1
nfl,2008,afc_champ,Pittsburgh Steelers,1,1,1
nfl,2009,afc_champ,Indianapolis Colts,1,1,1
nfl,2010,afc_champ,Pittsburgh Steelers,1,1,1
nfl,2011,afc_champ,New England Patriots,1,1,1
nfl,2012,afc_champ,Baltimore Ravens,1,1,1
nfl,1970,nfc_champ,Dallas Cowboys,1,1,1
nfl,1971,nfc_champ,Dallas Cowboys,1,1,1
nfl,1972,nfc_champ,Washington Redskins,1,1,1
nfl,1973,nfc_champ,Minnesota Vikings,1,1,1
nfl,1974,nfc_champ,Minnesota Vikings,1,1,1
nfl,1975,nfc_champ,Dallas Cowboys,1,1,1
nfl,1976,nfc_champ,Minnesota Vikings,1,1,1
nfl,1977,nfc_champ,Dallas Cowboys,1,1,1
nfl,1978,nfc_champ,Dallas Cowboys,1,1,1
nfl,1979,nfc_champ,Los Angeles Rams,1,1,1
nfl,1980,nfc_champ,Philadelphia Eagles,1,1,1
nfl,1981,nfc_champ,San Francisco 49ers,1,1,1
nfl,1982,nfc_champ,Washington Redskins,1,1,1
nfl,1983,nfc_champ,Washington Redskins,1,1,1
nfl,1984,nfc_champ,San Francisco 49ers,1,1,1
nfl,1985,nfc_champ,Chicago Bears,1,1,1
nfl,1986,nfc_champ,New York Giants,1,1,1
nfl,1987,nfc_champ,Washington Redskins,1,1,1
nfl,1988,nfc_champ,San Francisco 49ers,1,1,1
nfl,1989,nfc_champ,San Francisco 49ers,1,1,1
nfl,1990,nfc_champ,New York Giants,1,1,1
nfl,1991,nfc_champ,Washington Redskins,1,1,1
nfl,1992,nfc_champ,Dallas Cowboys,1,1,1
nfl,1993,nfc_champ,Dallas Cowboys,1,1,1
nfl,1994,nfc_champ,San Francisco 49ers,1,1,1
nfl,1995,nfc_champ,Dallas Cowboys,1,1,1
nfl,1996,nfc_champ,Green Bay Packers,1,1,1
nfl,1997,nfc_champ,Green Bay Packers,1,1,1
nfl,1998,nfc_champ,Atlanta Falcons,1,1,1
nfl,1999,nfc_champ,St. Louis Rams,1,1,1
nfl,2000,nfc_champ,New York Giants,1,1,1
nfl,2001,nfc_champ,St. Louis Rams,1,1,1
nfl,2002,nfc_champ,Tampa Bay Buccaneers,1,1,1
nfl,2003,nfc_champ,Carolina Panthers,1,1,1
nfl,2004,nfc_champ,Philadelphia Eagles,1,1,1
nfl,2005,nfc_champ,Seattle Seahawks,1,1,1
nfl,2006,nfc_champ,Chicago Bears,1,1,1
nfl,2007,nfc_champ,New York Giants,1,1,1
nfl,2008,nfc_champ,Arizona Cardinals,1,1,1
nfl,2009,nfc_champ,New Orleans Saints,1,1,1
nfl,2010,nfc_champ,Green Bay Packers,1,1,1
nfl,2011,nfc_champ,New York Giants,1,1,1
nfl,2012,nfc_champ,San Francisco 49ers,1,1,1
nfl,1970,afc_div,Baltimore Colts,1,1,1
nfl,1970,afc_div,Oakland Raiders,1,1,1
nfl,1971,afc_div,Miami Dolphins,1,1,1
nfl,1971,afc_div,Baltimore Colts,1,1,1
nfl,1972,afc_div,Pittsburgh Steelers,1,1,1
nfl,1972,afc_div,Miami Dolphins,1,1,1
nfl,1973,afc_div,Oakland Raiders,1,1,1
nfl,1973,afc_div,Miami Dolphins,1,1,1
nfl,1974,afc_div,Oakland Raiders,1,1,1
nfl,1974,afc_div,Pittsburgh Steelers,1,1,1
nfl,1975,afc_div,Pittsburgh Steelers,1,1,1
nfl,1975,afc_div,Oakland Raiders,1,1,1
nfl,1976,afc_div,Oakland Raiders,1,1,1
nfl,1976,afc_div,Pittsburgh Steelers,1,1,1
nfl,1977,afc_div,Denver Broncos,1,1,1
nfl,1977,afc_div,Oakland Raiders,1,1,1
nfl,1978,afc_div,Pittsburgh Steelers,1,1,1
nfl,1978,afc_div,Houston Oilers,1,1,1
nfl,1979,afc_div,Houston Oilers,1,1,1
nfl,1979,afc_div,Pittsburgh Steelers,1,1,1
nfl,1980,afc_div,San Diego Chargers,1,1,1
nfl,1980,afc_div,Oakland Raiders,1,1,1
nfl,1981,afc_div,San Diego Chargers,1,1,1
nfl,1981,afc_div,Cincinnati Bengals,1,1,1
nfl,1982,afc_div,New York Jets,1,1,1
nfl,1982,afc_div,Miami Dolphins,1,1,1
nfl,1983,afc_div,Seattle Seahawks,1,1,1
nfl,1983,afc_div,Los Angeles Raiders,1,1,1
nfl,1984,afc_div,Miami Dolphins,1,1,1
nfl,1984,afc_div,Pittsburgh Steelers,1,1,1
nfl,1985,afc_div,Miami Dolphins,1,1,1
nfl,1985,afc_div,New England Patriots,1,1,1
nfl,1986,afc_div,Cleveland Browns,1,1,1
nfl,1986,afc_div,Denver Broncos,1,1,1
nfl,1987,afc_div,Cleveland Browns,1,1,1
nfl,1987,afc_div,Denver Broncos,1,1,1
nfl,1988,afc_div,Cincinnati Bengals,1,1,1
nfl,1988,afc_div,Buffalo Bills,1,1,1
nfl,1989,afc_div,Cleveland Browns,1,1,1
nfl,1989,afc_div,Denver Broncos,1,1,1
nfl,1990,afc_div,Buffalo Bills,1,1,1
nfl,1990,afc_div,Los Angeles Raiders,1,1,1
nfl,1991,afc_div,Denver Broncos,1,1,1
nfl,1991,afc_div,Buffalo Bills,1,1,1
nfl,1992,afc_div,Buffalo Bills,1,1,1
nfl,1992,afc_div,Miami Dolphins,1,1,1
nfl,1993,afc_div,Buffalo Bills,1,1,1
nfl,1993,afc_div,Kansas City Chiefs,1,1,1
nfl,1994,afc_div,Pittsburgh Steelers,1,1,1
nfl,1994,afc_div,San Diego Chargers,1,1,1
nfl,1995,afc_div,Pittsburgh Steelers,1,1,1
nfl,1995,afc_div,Indianapolis Colts,1,1,1
nfl,1996,afc_div,Jacksonville Jaguars,1,1,1
nfl,1996,afc_div,New England Patriots,1,1,1
nfl,1997,afc_div,Pittsburgh Steelers,1,1,1
nfl,1997,afc_div,Denver Broncos,1,1,1
nfl,1998,afc_div,Denver Broncos,1,1,1
nfl,1998,afc_div,New York Jets,1,1,1
nfl,1999,afc_div,Jacksonville Jaguars,1,1,1
nfl,1999,afc_div,Tennessee Titans,1,1,1
nfl,2000,afc_div,Oakland Raiders,1,1,1
nfl,2000,afc_div,Baltimore Ravens,1,1,1
nfl,2001,afc_div,New England Patriots,1,1,1
nfl,2001,afc_div,Pittsburgh Steelers,1,1,1
nfl,2002,afc_div,Tennessee Titans,1,1,1
nfl,2002,afc_div,Oakland Raiders,1,1,1
nfl,2003,afc_div,New England Patriots,1,1,1
nfl,2003,afc_div,Indianapolis Colts,1,1,1
nfl,2004,afc_div,Pittsburgh Steelers,1,1,1
nfl,2004,afc_div,New England Patriots,1,1,1
nfl,2005,afc_div,Denver Broncos,1,1,1
nfl,2005,afc_div,Pittsburgh Steelers,1,1,1
nfl,2006,afc_div,Indianapolis Colts,1,1,1
nfl,2006,afc_div,New England Patriots,1,1,1
nfl,2007,afc_div,New England Patriots,1,1,1
nfl,2007,afc_div,San Diego Chargers,1,1,1
nfl,2008,afc_div,Baltimore Ravens,1,1,1
nfl,2008,afc_div,Pittsburgh Steelers,1,1,1
nfl,2009,afc_div,Indianapolis Colts,1,1,1
nfl,2009,afc_div,New York Jets,1,1,1
nfl,2010,afc_div,Pittsburgh Steelers,1,1,1
nfl,2010,afc_div,New York Jets,1,1,1
nfl,2011,afc_div,Baltimore Ravens,1,1,1
nfl,2011,afc_div,New England Patriots,1,1,1
nfl,2012,afc_div,Baltimore Ravens,1,1,1
nfl,2012,afc_div,New England Patriots,1,1,1
nfl,1970,nfc_div,Dallas Cowboys,1,1,1
nfl,1970,nfc_div,San Francisco 49ers,1,1,1
nfl,1971,nfc_div,Dallas Cowboys,1,1,1
nfl,1971,nfc_div,San Francisco 49ers,1,1,1
nfl,1972,nfc_div,Dallas Cowboys,1,1,1
nfl,1972,nfc_div,Washington Redskins,1,1,1
nfl,1973,nfc_div,Minnesota Vikings,1,1,1
nfl,1973,nfc_div,Dallas Cowboys,1,1,1
nfl,1974,nfc_div,Minnesota Vikings,1,1,1
nfl,1974,nfc_div,Los Angeles Rams,1,1,1
nfl,1975,nfc_div,Los Angeles Rams,1,1,1
nfl,1975,nfc_div,Dallas Cowboys,1,1,1
nfl,1976,nfc_div,Minnesota Vikings,1,1,1
nfl,1976,nfc_div,Los Angeles Rams,1,1,1
nfl,1977,nfc_div,Dallas Cowboys,1,1,1
nfl,1977,nfc_div,Minnesota Vikings,1,1,1
nfl,1978,nfc_div,Dallas Cowboys,1,1,1
nfl,1978,nfc_div,Los Angeles Rams,1,1,1
nfl,1979,nfc_div,Tampa Bay Buccaneers,1,1,1
nfl,1979,nfc_div,Los Angeles Rams,1,1,1
nfl,1980,nfc_div,Philadelphia Eagles,1,1,1
nfl,1980,nfc_div,Dallas Cowboys,1,1,1
nfl,1981,nfc_div,Dallas Cowboys,1,1,1
nfl,1981,nfc_div,San Francisco 49ers,1,1,1
nfl,1982,nfc_div,Washington Redskins,1,1,1
nfl,1982,nfc_div,Dallas Cowboys,1,1,1
nfl,1983,nfc_div,San Francisco 49ers,1,1,1
nfl,1983,nfc_div,Washington Redskins,1,1,1
nfl,1984,nfc_div,San Francisco 49ers,1,1,1
nfl,1984,nfc_div,Chicago Bears,1,1,1
nfl,1985,nfc_div,Los Angeles Rams,1,1,1
nfl,1985,nfc_div,Chicago Bears,1,1,1
nfl,1986,nfc_div,Washington Redskins,1,1,1
nfl,1986,nfc_div,New York Giants,1,1,1
nfl,1987,nfc_div,Minnesota Vikings,1,1,1
nfl,1987,nfc_div,Washington Redskins,1,1,1
nfl,1988,nfc_div,Chicago Bears,1,1,1
nfl,1988,nfc_div,San Francisco 49ers,1,1,1
nfl,1989,nfc_div,Los Angeles Rams,1,1,1
nfl,1989,nfc_div,San Francisco 49ers,1,1,1
nfl,1990,nfc_div,San Francisco 49ers,1,1,1
nfl,1990,nfc_div,New York Giants,1,1,1
nfl,1991,nfc_div,Washington Redskins,1,1,1
nfl,1991,nfc_div,Detroit Lions,1,1,1
nfl,1992,nfc_div,San Francisco 49ers,1,1,1
nfl,1992,nfc_div,Dallas Cowboys,1,1,1
nfl,1993,nfc_div,San Francisco 49ers,1,1,1
nfl,1993,nfc_div,Dallas Cowboys,1,1,1
nfl,1994,nfc_div,San Francisco 49ers,1,1,1
nfl,1994,nfc_div,Dallas Cowboys,1,1,1
nfl,1995,nfc_div,Green Bay Packers,1,1,1
nfl,1995,nfc_div,Dallas Cowboys,1,1,1
nfl,1996,nfc_div,Green Bay Packers,1,1,1
nfl,1996,nfc_div,Carolina Panthers,1,1,1
nfl,1997,nfc_div,San Francisco 49ers,1,1,1
nfl,1997,nfc_div,Green Bay Packers,1,1,1
nfl,1998,nfc_div,Atlanta Falcons,1,1,1
nfl,1998,nfc_div,Minnesota Vikings,1,1,1
nfl,1999,nfc_div,Tampa Bay Buccaneers,1,1,1
nfl,1999,nfc_div,St. Louis Rams,1,1,1
nfl,2000,nfc_div,Minnesota Vikings,1,1,1
nfl,2000,nfc_div,New York Giants,1,1,1
nfl,2001,nfc_div,Philadelphia Eagles,1,1,1
nfl,2001,nfc_div,St. Louis Rams,1,1,1
nfl,2002,nfc_div,Tampa Bay Buccaneers,1,1,1
nfl,2002,nfc_div,Philadelphia Eagles,1,1,1
nfl,2003,nfc_div,Carolina Panthers,1,1,1
nfl,2003,nfc_div,Philadelphia Eagles,1,1,1
nfl,2004,nfc_div,Atlanta Falcons,1,1,1
nfl,2004,nfc_div,Philadelphia Eagles,1,1,1
nfl,2005,nfc_div,Seattle Seahawks,1,1,1
nfl,2005,nfc_div,Carolina Panthers,1,1,1
nfl,2006,nfc_div,New Orleans Saints,1,1,1
nfl,2006,nfc_div,Chicago Bears,1,1,1
nfl,2007,nfc_div,New York Giants,1,1,1
nfl,2007,nfc_div,Green Bay Packers,1,1,1
nfl,2008,nfc_div,Arizona Cardinals,1,1,1
nfl,2008,nfc_div,Philadelphia Eagles,1,1,1
nfl,2009,nfc_div,New Orleans Saints,1,1,1
nfl,2009,nfc_div,Minnesota Vikings,1,1,1
nfl,2010,nfc_div,Green Bay Packers,1,1,1
nfl,2010,nfc_div,Chicago Bears,1,1,1
nfl,2011,nfc_div,San Francisco 49ers,1,1,1
nfl,2011,nfc_div,New York Giants,1,1,1
nfl,2012,nfc_div,San Francisco 49ers,1,1,1
nfl,2012,nfc_div,Atlanta Falcons,1,1,1
nfl,1978,afc_wc,Houston Oilers,1,1,1
nfl,1979,afc_wc,Houston Oilers,1,1,1
nfl,1980,afc_wc,Oakland Raiders,1,1,1
nfl,1981,afc_wc,Buffalo Bills,1,1,1
nfl,1982,afc_wc,Miami Dolphins,1,1,1
nfl,1982,afc_wc,Los Angeles Raiders,1,1,1
nfl,1982,afc_wc,New York Jets,1,1,1
nfl,1982,afc_wc,San Diego Chargers,1,1,1
nfl,1983,afc_wc,Seattle Seahawks,1,1,1
nfl,1984,afc_wc,Seattle Seahawks,1,1,1
nfl,1985,afc_wc,New England Patriots,1,1,1
nfl,1986,afc_wc,New York Jets,1,1,1
nfl,1987,afc_wc,Houston Oilers,1,1,1
nfl,1988,afc_wc,Houston Oilers,1,1,1
nfl,1989,afc_wc,Pittsburgh Steelers,1,1,1
nfl,1990,afc_wc,Miami Dolphins,1,1,1
nfl,1990,afc_wc,Cincinnati Bengals,1,1,1
nfl,1991,afc_wc,Kansas City Chiefs,1,1,1
nfl,1991,afc_wc,Houston Oilers,1,1,1
nfl,1992,afc_wc,San Diego Chargers,1,1,1
nfl,1992,afc_wc,Buffalo Bills,1,1,1
nfl,1993,afc_wc,Kansas City Chiefs,1,1,1
nfl,1993,afc_wc,Los Angeles Raiders,1,1,1
nfl,1994,afc_wc,Miami Dolphins,1,1,1
nfl,1994,afc_wc,Cleveland Browns,1,1,1
nfl,1995,afc_wc,Buffalo Bills,1,1,1
nfl,1995,afc_wc,Indianapolis Colts,1,1,1
nfl,1996,afc_wc,Jacksonville Jaguars,1,1,1
nfl,1996,afc_wc,Pittsburgh Steelers,1,1,1
nfl,1997,afc_wc,New England Patriots,1,1,1
nfl,1997,afc_wc,Denver Broncos,1,1,1
nfl,1998,afc_wc,Miami Dolphins,1,1,1
nfl,1998,afc_wc,Jacksonville Jaguars,1,1,1
nfl,1999,afc_wc,Tennessee Titans,1,1,1
nfl,1999,afc_wc,Miami Dolphins,1,1,1
nfl,2000,afc_wc,Miami Dolphins,1,1,1
nfl,2000,afc_wc,Baltimore Ravens,1,1,1
nfl,2001,afc_wc,Oakland Raiders,1,1,1
nfl,2001,afc_wc,Baltimore Ravens,1,1,1
nfl,2002,afc_wc,New York Jets,1,1,1
nfl,2002,afc_wc,Pittsburgh Steelers,1,1,1
nfl,2003,afc_wc,Tennessee Titans,1,1,1
nfl,2003,afc_wc,Indianapolis Colts,1,1,1
nfl,2004,afc_wc,New York Jets,1,1,1
nfl,2004,afc_wc,Indianapolis Colts,1,1,1
nfl,2005,afc_wc,New England Patriots,1,1,1
nfl,2005,afc_wc,Pittsburgh Steelers,1,1,1
nfl,2006,afc_wc,Indianapolis Colts,1,1,1
nfl,2006,afc_wc,New England Patriots,1,1,1
nfl,2007,afc_wc,San Diego Chargers,1,1,1
nfl,2007,afc_wc,Jacksonville Jaguars,1,1,1
nfl,2008,afc_wc,San Diego Chargers,1,1,1
nfl,2008,afc_wc,Baltimore Ravens,1,1,1
nfl,2009,afc_wc,New York Jets,1,1,1
nfl,2009,afc_wc,Baltimore Ravens,1,1,1
nfl,2010,afc_wc,New York Jets,1,1,1
nfl,2010,afc_wc,Baltimore Ravens,1,1,1
nfl,2011,afc_wc,Houston Texans,1,1,1
nfl,2011,afc_wc,Denver Broncos,1,1,1
nfl,2012,afc_wc,Houston Texans,1,1,1
nfl,2012,afc_wc,Baltimore Ravens,1,1,1
nfl,1978,nfc_wc,Atlanta Falcons,1,1,1
nfl,1979,nfc_wc,Philadelphia Eagles,1,1,1
nfl,1980,nfc_wc,Dallas Cowboys,1,1,1
nfl,1981,nfc_wc,New York Giants,1,1,1
nfl,1982,nfc_wc,Washington Redskins,1,1,1
nfl,1982,nfc_wc,Green Bay Packers,1,1,1
nfl,1982,nfc_wc,Minnesota Vikings,1,1,1
nfl,1982,nfc_wc,Dallas Cowboys,1,1,1
nfl,1983,nfc_wc,Los Angeles Rams,1,1,1
nfl,1984,nfc_wc,New York Giants,1,1,1
nfl,1985,nfc_wc,New York Giants,1,1,1
nfl,1986,nfc_wc,Washington Redskins,1,1,1
nfl,1987,nfc_wc,Minnesota Vikings,1,1,1
nfl,1988,nfc_wc,Minnesota Vikings,1,1,1
nfl,1989,nfc_wc,Los Angeles Rams,1,1,1
nfl,1990,nfc_wc,Washington Redskins,1,1,1
nfl,1990,nfc_wc,Chicago Bears,1,1,1
nfl,1991,nfc_wc,Atlanta Falcons,1,1,1
nfl,1991,nfc_wc,Dallas Cowboys,1,1,1
nfl,1992,nfc_wc,Washington Redskins,1,1,1
nfl,1992,nfc_wc,Philadelphia Eagles,1,1,1
nfl,1993,nfc_wc,Green Bay Packers,1,1,1
nfl,1993,nfc_wc,New York Giants,1,1,1
nfl,1994,nfc_wc,Green Bay Packers,1,1,1
nfl,1994,nfc_wc,Chicago Bears,1,1,1
nfl,1995,nfc_wc,Green Bay Packers,1,1,1
nfl,1995,nfc_wc,Philadelphia Eagles,1,1,1
nfl,1996,nfc_wc,Dallas Cowboys,1,1,1
nfl,1996,nfc_wc,San Francisco 49ers,1,1,1
nfl,1997,nfc_wc,Minnesota Vikings,1,1,1
nfl,1997,nfc_wc,Tampa Bay Buccaneers,1,1,1
nfl,1998,nfc_wc,Arizona Cardinals,1,1,1
nfl,1998,nfc_wc,San Francisco 49ers,1,1,1
nfl,1999,nfc_wc,Washington Redskins,1,1,1
nfl,1999,nfc_wc,Minnesota Vikings,1,1,1
nfl,2000,nfc_wc,New Orleans Saints,1,1,1
nfl,2000,nfc_wc,Philadelphia Eagles,1,1,1
nfl,2001,nfc_wc,Philadelphia Eagles,1,1,1
nfl,2001,nfc_wc,Green Bay Packers,1,1,1
nfl,2002,nfc_wc,Atlanta Falcons,1,1,1
nfl,2002,nfc_wc,San Francisco 49ers,1,1,1
nfl,2003,nfc_wc,Carolina Panthers,1,1,1
nfl,2003,nfc_wc,Green Bay Packers,1,1,1
nfl,2004,nfc_wc,St. Louis Rams,1,1,1
nfl,2004,nfc_wc,Minnesota Vikings,1,1,1
nfl,2005,nfc_wc,Washington Redskins,1,1,1
nfl,2005,nfc_wc,Carolina Panthers,1,1,1
nfl,2006,nfc_wc,Seattle Seahawks,1,1,1
nfl,2006,nfc_wc,Philadelphia Eagles,1,1,1
nfl,2007,nfc_wc,Seattle Seahawks,1,1,1
nfl,2007,nfc_wc,New York Giants,1,1,1
nfl,2008,nfc_wc,Arizona Cardinals,1,1,1
nfl,2008,nfc_wc,Philadelphia Eagles,1,1,1
nfl,2009,nfc_wc,Dallas Cowboys,1,1,1
nfl,2009,nfc_wc,Arizona Cardinals,1,1,1
nfl,2010,nfc_wc,Seattle Seahawks,1,1,1
nfl,2010,nfc_wc,Green Bay Packers,1,1,1
nfl,2011,nfc_wc,New Orleans Saints,1,1,1
nfl,2011,nfc_wc,New York Giants,1,1,1
nfl,2012,nfc_wc,Green Bay Packers,1,1,1
nfl,2012,nfc_wc,Seattle Seahawks,1,1,1
nfl,2012,sb,San Francisco 49ers,0,1,0
nfl,2011,sb,New England Patriots,0,1,0
nfl,2010,sb,Pittsburgh Steelers,0,1,0
nfl,2009,sb,Indianapolis Colts,0,1,0
nfl,2008,sb,Arizona Cardinals,0,1,0
nfl,2007,sb,New England Patriots,0,1,0
nfl,2006,sb,Chicago Bears,0,1,0
nfl,2005,sb,Seattle Seahawks,0,1,0
nfl,2004,sb,Philadelphia Eagles,0,1,0
nfl,2003,sb,Carolina Panthers,0,1,0
nfl,2002,sb,Oakland Raiders,0,1,0
nfl,2001,sb,St. Louis Rams,0,1,0
nfl,2000,sb,New York Giants,0,1,0
nfl,1999,sb,Tennessee Titans,0,1,0
nfl,1998,sb,Atlanta Falcons,0,1,0
nfl,1997,sb,Green Bay Packers,0,1,0
nfl,1996,sb,New England Patriots,0,1,0
nfl,1995,sb,Pittsburgh Steelers,0,1,0
nfl,1994,sb,San Diego Chargers,0,1,0
nfl,1993,sb,Buffalo Bills,0,1,0
nfl,1992,sb,Buffalo Bills,0,1,0
nfl,1991,sb,Buffalo Bills,0,1,0
nfl,1990,sb,Buffalo Bills,0,1,0
nfl,1989,sb,Denver Broncos,0,1,0
nfl,1988,sb,Cincinnati Bengals,0,1,0
nfl,1987,sb,Denver Broncos,0,1,0
nfl,1986,sb,Denver Broncos,0,1,0
nfl,1985,sb,New England Patriots,0,1,0
nfl,1984,sb,Miami Dolphins,0,1,0
nfl,1983,sb,Washington Redskins,0,1,0
nfl,1982,sb,Miami Dolphins,0,1,0
nfl,1981,sb,Cincinnati Bengals,0,1,0
nfl,1980,sb,Philadelphia Eagles,0,1,0
nfl,1979,sb,Los Angeles Rams,0,1,0
nfl,1978,sb,Dallas Cowboys,0,1,0
nfl,1977,sb,Denver Broncos,0,1,0
nfl,1976,sb,Minnesota Vikings,0,1,0
nfl,1975,sb,Dallas Cowboys,0,1,0
nfl,1974,sb,Minnesota Vikings,0,1,0
nfl,1973,sb,Minnesota Vikings,0,1,0
nfl,1972,sb,Washington Redskins,0,1,0
nfl,1971,sb,Miami Dolphins,0,1,0
nfl,1970,sb,Dallas Cowboys,0,1,0
nfl,1970,afc_champ,Oakland Raiders,0,1,0
nfl,1971,afc_champ,Baltimore Colts,0,1,0
nfl,1972,afc_champ,Pittsburgh Steelers,0,1,0
nfl,1973,afc_champ,Oakland Raiders,0,1,0
nfl,1974,afc_champ,Oakland Raiders,0,1,0
nfl,1975,afc_champ,Oakland Raiders,0,1,0
nfl,1976,afc_champ,Pittsburgh Steelers,0,1,0
nfl,1977,afc_champ,Oakland Raiders,0,1,0
nfl,1978,afc_champ,Houston Oilers,0,1,0
nfl,1979,afc_champ,Houston Oilers,0,1,0
nfl,1980,afc_champ,San Diego Chargers,0,1,0
nfl,1981,afc_champ,San Diego Chargers,0,1,0
nfl,1982,afc_champ,New York Jets,0,1,0
nfl,1983,afc_champ,Seattle Seahawks,0,1,0
nfl,1984,afc_champ,Pittsburgh Steelers,0,1,0
nfl,1985,afc_champ,Miami Dolphins,0,1,0
nfl,1986,afc_champ,Cleveland Browns,0,1,0
nfl,1987,afc_champ,Cleveland Browns,0,1,0
nfl,1988,afc_champ,Buffalo Bills,0,1,0
nfl,1989,afc_champ,Cleveland Browns,0,1,0
nfl,1990,afc_champ,Los Angeles Raiders,0,1,0
nfl,1991,afc_champ,Denver Broncos,0,1,0
nfl,1992,afc_champ,Miami Dolphins,0,1,0
nfl,1993,afc_champ,Kansas City Chiefs,0,1,0
nfl,1994,afc_champ,Pittsburgh Steelers,0,1,0
nfl,1995,afc_champ,Indianapolis Colts,0,1,0
