Aberdeen JC,"Rozier, Bob",1979,1979,DE,6' 3'',240,Anchorage,AK,USA,"Cordova (Sacramento, CA)"
Indiana University,"Lowery, Hugh",1920,1920,T,6' 0'',220,Cutler,IN,USA,Cutler (IN)
Indiana University,"Luft, Don",1954,1954,E,6' 5'',220,Fisk,WI,USA,"Central (Sheboygan, WI)"
Indiana University,"Maggioli, Archie",1948,1950,B/HB,5' 10'',178,Mishawaka,IN,USA,Mishawaka (IN)
Indiana University,"Malinchak, Bill",1966,1976,OE/WR,6' 1'',198,Charleroi,PA,USA,Monessen (PA)
Indiana University,"Marks, Larry",1926,1928,E/FB/HB/QB,5' 11'',185,Wabash,IN,USA,Wabash (IN)
Indiana University,"Matesic, Joe",1954,1954,T,6' 4'',250,Rankin,PA,USA,
Indiana University,"Mathys, Charlie",1921,1926,HB/QB,5' 7'',165,Green Bay,WI,USA,"West (Green Bay, WI)"
Indiana University,"McCaw, Bill",1923,1926,E/G,6' 2'',192,St. Paul,MN,USA,Bloomington (IN)
Indiana University,"McCormack, Hurvin",1994,1999,DE/DT,6' 5'',284,Brooklyn,NY,USA,"New Dorp (Staten Island,  NY)"
Indiana University,"McCurry, Mike",1987,1987,OG,6' 3'',258,Indianapolis,IN,USA,"John Marshall (Indianapolis, IN)"
Indiana University,"Mickens, Arnold",1996,1996,RB,5' 11'',217,Indianapolis,IN,USA,"Broad Ripple (Indianapolis, IN)"
Indiana University,"Mihajlovich, Lou",1948,1948,E,5' 12'',177,Detroit,MI,USA,"Riley (South Bend, IN)"
Indiana University,"Mills, Lamar",1994,1994,DE/DT,6' 5'',270,Detroit,MI,USA,"St. Martin DePorres (Detroit, MI)"
Indiana University,"Moore, Eric",1988,2010,OG/OT/T,6' 5'',293,Berkeley,,,Berkeley (MO)
Indiana University,"Morris, Chris",1972,1975,OT/T,6' 3'',250,Indianapolis,IN,USA,"Southport (Indianapolis, IN)"
Indiana University,"Norman, Joe",1979,1983,LB,6' 1'',220,Millersburg,OH,USA,"West Holmes (Millersburg, OH)"
Indiana University,"Nowatzke, Tom",1965,1972,FB/RB,6' 3'',229,La Porte,IN,USA,"Elston (Michigan City, IN)"
Indiana University,"O'dell, Stu",1974,1978,LB,6' 1'',220,Linton,IN,USA,Mooresville (IN)
Indiana University,"Ogunleye, Adewale",2001,2010,DE,6' 4'',262,Brooklyn,,,"Tottenville (Staten Island, NY)"
Indiana University,"Oliver, Vince",1945,1945,QB,5' 11'',180,Whiting,IN,USA,Whiting (IN)
Indiana University,"Osika, Craig",2002,2003,G/OG,6' 3'',293,Valparaiso,IN,USA,Hobart (IN)
Indiana University,"Pihos, Pete",1947,1955,DE/E/OE,6' 1'',211,Orlando,FL,USA,"Austin (Chicago, IL)"
Indiana University,"Pope, Spencer",1920,1920,E,5' 10'',170,Linton,IN,USA,Linton (IN)
Indiana University,"Porter, Tracy",2008,2010,DB,5' 11'',185,Port Allen,,,Port Allen HS (LA)
Indiana University,"Rabold, Mike",1959,1967,OG,6' 2'',239,Chicago,IL,USA,"Fenwick (Oak Park, IL)"
Indiana University,"Radick, Ken",1930,1931,E/G/T,6' 0'',210,Green Bay,WI,USA,"West (Green Bay, WI)"
Indiana University,"Raimondi, Ben",1947,1947,B,5' 10'',175,Brooklyn,NY,USA,"Erasmus Hall (Brooklyn, NY)"
Indiana University,"Ramsey, Nate",1963,1973,CB/DB/OB/S,6' 1'',200,Neptune,NJ,USA,Neptune (NJ)
Indiana University,"Randle El, Antwaan",2002,2010,WR,5' 9'',191,Riverdale,,,"Thornton (Harvey, IL)"
Indiana University,"Randolph, Clare",1930,1936,C/E/HB,6' 2'',204,Chicago,IL,USA,Elkhart (IN)
Indiana University,"Rascher, Amby",1932,1932,G/T,6' 2'',210,Cedar Lake,IN,USA,Cedar Lake (IN)
Indiana University,"Rasmussen, Kemp",2002,2005,DE,6' 3'',260,Hadley,MI,USA,"Lapeer West (Hadley, MI)"
Indiana University,"Ravensberg, Bob",1948,1949,E,6' 0'',190,Bellevue,TX,USA,Bellevue (KY)
Indiana University,"Riley, Bob",1987,1987,OT,6' 5'',276,Pittsburgh,PA,USA,"North Allegheny (Wexford, PA)"
Indiana University,"Ringwalt, Carroll",1930,1931,C/G,6' 0'',210,Bedford,IN,USA,
Indiana University,"Risley, Elliot",1921,1923,E/T,6' 1'',205,Compton,IL,USA,"East (Aurora, IL)"
Indiana University,"Roby, Courtney",2005,2010,WR,6' 0'',189,Indianapolis,,,North Central (IN)
Indiana University,"Rucinski, Eddie",1941,1946,E/HB,6' 2'',198,East Chicago,IN,USA,East Chicago (IN)
Indiana University,"Saban, Lou",1946,1949,C/FB/G/K/LB,6' 0'',202,Brookfield,IL,USA,La Grange (IL)
Indiana University,"Scales, Charley",1960,1966,FB/HB/OHB,5' 11'',214,Pittsburgh,PA,USA,Homestead (PA)
Indiana University,"Scolnik, Glenn",1973,1973,WR,6' 3'',190,Hammond,IN,USA,Munster (IN)
Indiana University,"Scott, Wilbert",1961,1961,DE/LB,6' 0'',215,Connellsville,PA,USA,Connellsville (PA)
Indiana University,"Sebek, Nick",1950,1950,QB,6' 1'',194,Niagara Falls,NY,USA,North Tonawanda (NY)
Indiana University,"Sikora, Mike",1952,1952,G,6' 2'',230,Hammond,IN,USA,Hammond (IN)
Indiana University,"Skoronski, Bob",1956,1968,C/OT,6' 3'',249,Ansonia,CT,USA,"Prep (Fairfield, CT)/Admiral Billard Academy"
Indiana University,"Smedley, Eric",1996,1999,S,5' 11'',199,Charleston,WV,USA,"Capital (Chesterton, WV)"
Indiana University,"Smith, Justin",2003,2003,LB,6' 0'',218,Lafayette,IN,USA,"Central (Warren, IN)"
Indiana University,"Sniadecki, Jim",1969,1973,LB,6' 2'',224,South Bend,IN,USA,"St. Joseph's (South Bend, IN)"
Indiana University,"Snowden, Cal",1969,1973,DE,6' 4'',247,Washington,DC,USA,"Roosevelt (Washington, DC)"
Indiana University,"Sowells, Isaac",2006,2008,OL,6' 3'',324,Durango,CO,USA,
Indiana University,"Spicer, Rob",1973,1973,LB,6' 4'',227,Detroit,MI,USA,"Lee M. Thurston (Detroit, MI)"
Indiana University,"Stolberg, Eric",1971,1971,WR,6' 2'',180,Massillon,OH,USA,Cuyahoga Falls (OH)
Indiana University,"Stoyanovich, Pete",1989,2000,K/P,5' 11'',192,Dearborn Heights,MI,USA,"Crestwood (Dearborn Hieghts, MI)"
Indiana University,"Stryzinski, Dan",1990,2003,P,6' 2'',201,Vincennes,IN,USA,"Lincoln (Vincennes, IN)"
Indiana University,"Supernaw, Kywin",1998,2000,S,6' 1'',206,Claremore,OK,USA,Skiatook (OK)
Indiana University,"Taliaferro, George",1949,1955,B/HB/OHB/P,5' 11'',196,Gates,TN,USA,"Roosevelt (Gary, IN)"
Indiana University,"Tavener, John",1946,1946,C,6' 0'',225,Newark,OH,USA,Johnstown (OH)
Indiana University,"Taylor, Chris",2006,2008,RB,6' 0'',224,Memphis,TN,USA,
Indiana University,"Thomas, Donnie",1976,1976,LB,6' 2'',245,Michigan City,IN,USA,"Isaac C. Elston (Michigan City, IN)"
Indiana University,"Thompson, Anthony",1990,1992,LB/RB,5' 11'',207,Terre Haute,IN,USA,"North (Terre Haute, IN)"
Indiana University,"Thompson, Ernie",1991,1993,RB,5' 11'',230,Terre Haute,IN,USA,"North (Terre Haute, IN)"
Indiana University,"Tofil, Joe",1942,1942,B/E,6' 1'',205,Campbell,OH,USA,"Memorial (Campbell, OH)"
Indiana University,"Townes, Willie",1966,1970,DE/DT,6' 5'',263,Hattiesburg,MS,USA,"Rowan (Hattiesburg, MS)"
Indiana University,"Uremovich, Emil",1941,1948,T,6' 2'',233,Hobart,IN,USA,
Indiana University,"Waiters, Van",1988,1992,LB,6' 4'',243,Coral Gables,FL,USA,Coral Gables (FL)
Indiana University,"Walls, Craig",1987,1987,LB,6' 1'',215,Pittsburgh,PA,USA,"Peabody (Pittsburgh, PA)"
Indiana University,"Watts, Damon",1994,1997,CB,5' 10'',173,Indianapolis,IN,USA,"Lawrence North (Indianapolis, IN)"
Indiana University,"White, Gene",1946,1946,G,6' 0'',205,South Bend,IN,USA,"Central (South Bend, IN)"
Indiana University,"Whitsell, Dave",1958,1969,CB/DB/DHB/S,6' 0'',189,Shelby,MI,USA,Shelby (MI)
Indiana University,"Whittington, Bernard",1994,2002,DE/DT,6' 5'',284,St. Louis,MO,USA,"Hazelwood East (St. Louis, MO)"
Indiana University,"Wilkens, Elmer",1925,1925,E/FB,5' 9'',170,Fort Wayne,IN,USA,Fort Wayne (IN)
Indiana University,"Williams, Travis",1921,1921,HB,6' 0'',200,Boonville,IN,USA,Boonville (IN)
Indiana University,"Wilmot, Trevor",1995,1995,LB,6' 2'',220,Evanston,IL,USA,"Evanston Township (Evanston, IL)"
Indiana University,"Witucki, Cas",1950,1956,G/OG,5' 11'',245,South Bend,IN,USA,"Washington (South Bend, IN)"
Indiana University,"Woodson, Marv",1964,1969,DB/DHB/HB/S,6' 0'',195,Hattiesburg,MS,USA,"Rowan (Hattiesburg, MS)"
Indiana University,"Zeller, Joe",1932,1938,C/E/G/T,6' 2'',203,East Chicago,IN,USA,East Chicago (IN)
Indiana University,"Zimny, Bob",1945,1949,T,6' 1'',235,Chicago,IL,USA,"St. Rita (Chicago, IL)"
Indiana University,"Zoll, Dick",1937,1938,G/T,5' 11'',218,Green Bay,WI,USA,"West (Green Bay, WI)"
Indiana University of Pennsylvania,"Angelo, Jim",1987,1987,OG,6' 3'',275,Pittsburgh,PA,USA,Indiana (PA)
Indiana University of Pennsylvania,"Griffin, Kris",2005,2008,LB,6' 3'',232,Rochester,PA,USA,Rochester (PA)
Indiana University of Pennsylvania,"Gwosden, Milo",1925,1925,E/HB,6' 0'',185,Agram,,,Woodlawn (PA)
Indiana University of Pennsylvania,"Haslett, Jim",1979,1987,LB,6' 3'',234,Pittsburgh,PA,USA,"Avalon (Pittsburgh, PA)"
Indiana University of Pennsylvania,"Jones, Ben",1923,1928,FB/HB/QB,5' 11'',202,DuBois,PA,USA,DuBois (PA)
Indiana University of Pennsylvania,"Jones, John",2000,2003,TE,6' 4'',250,Cleveland,OH,USA,"Glen Mills (Concordville, PA)"
Indiana University of Pennsylvania,"Jordan, Leander",2001,2005,OG,6' 3'',333,Pittsburgh,PA,USA,"Garfield (Pittsburgh, PA)/Peabody (Pittsburgh, PA)/Brashear(Pitt., PA)"
Indiana University of Pennsylvania,"Kellogg, Bill",1924,1925,FB/HB,5' 10'',178,Pittsburgh,PA,USA,Allegany (NY)
Indiana University of Pennsylvania,"Lawrence, Ben",1987,1987,G,6' 1'',325,Sparta,WI,USA,Waynesboro (PA)
Indiana University of Pennsylvania,"Malcolm, Harry",1929,1929,G/T,6' 0'',195,Indiana County,PA,USA,Indiana (PA)
Indiana University of Pennsylvania,"McCoy, LeRon",2005,2007,WR,6' 2'',205,Harrisburg,PA,USA,Bishop McDevitt (PA)
Indiana University of Pennsylvania,"Shugarts, Bret",1987,1987,DE,6' 2'',250,Du Bois,PA,USA,Du Bois (PA)
Indiana University of Pennsylvania,"Smith, Dave",1970,1973,WR,6' 2'',205,New York,NY,USA,New York (NY)
Indiana University of Pennsylvania,"Villarrial, Chris",1996,2006,OG,6' 4'',311,Hummelstown,PA,USA,Hershey (PA)
Iona College,"Chavez, Laz",1987,1987,LB,6' 0'',220,Port Chester,NY,USA,Port Chester (NY)
Iowa Central Community College,"Armstrong, Tyji",1992,1998,LB/TE,6' 4'',250,Inkster,MI,USA,"Robichaud (Dearborn Heights, MI)"
Iowa Central Community College,"Federico, Creig",1987,1987,S,6' 2'',205,Chicago,IL,USA,"James B. Conant (Hoffman Estates, IL)"
Iowa Central Community College,"Frisch, David",1993,1997,TE,6' 7'',260,Kirkwood,MO,USA,"Northwest (House Springs, MO)"
Iowa Central Community College,"Matuszak, John",1973,1981,DE/DT,6' 8'',278,Milwaukee,WI,USA,Oak Creek (WI)
Iowa Central Community College,"Reed, Henry",1971,1974,DE/LB,6' 3'',230,Detroit,MI,USA,"Northwestern (Detroit, MI)"
Iowa Central Community College,"Reed, Henry",1971,1974,DE/LB,6' 3'',230,Detroit,MI,USA,"Northwestern (Detroit, MI)"
Iowa Central Community College,"St. clair, Mike",1976,1982,DE,6' 5'',248,Cleveland,OH,USA,"East Tech (Cleveland, OH)"
Iowa Central Community College,"Stedman, Troy",1988,1988,LB,6' 3'',243,Cedar Falls,IA,USA,Cedar Falls (IA)
Iowa Central Community College,"White, Charlie",1977,2010,RB,6' 0'',222,Suffern,,,Spring Valley (NY)
Iowa State University,"Allen, Jeff",1971,1971,CB/RB,5' 11'',190,Chicago,IL,USA,"Wendell Phillips (Chicago, IL)"
Iowa State University,"Amundson, George",1973,1975,RB,6' 3'',215,Pendleton,OR,USA,"Central (Aberdeen, SD)"
Iowa State University,"Anthony, Terrence",1987,1987,CB,5' 10'',183,East St. Louis,IL,USA,"Assumption (Esast St. Louis, IL)"
Iowa State University,"Archer, David",1984,1989,QB,6' 2'',208,Fayetteville,NC,USA,Soda Springs (ID)
Iowa State University,"Baker, Tony",1968,1975,RB,5' 11'',224,Fort Madison,IA,USA,Burlington (IA)
Iowa State University,"Banks, Mike",2002,2003,TE,6' 4'',262,Mason City,IA,USA,Ogden (IA)
Iowa State University,"Barker, Dick",1921,1921,G,5' 9'',180,Sedalia,MO,USA,"Central (Oklahoma City, OK)"
Iowa State University,"Barney, Eppie",1967,1968,FL,6' 0'',201,Birmingham,AL,USA,"Collinwood (Cleveland, OH)"
Iowa State University,"Beauchamp, Joe",1966,1975,CB/DB/S,6' 0'',185,Chicago,IL,USA,"Rufus King (Milwaukee, WI)"
Iowa State University,"Berthusen, Bill",1987,1987,NT,6' 5'',290,Grinnell,IA,USA,Marshalltown (IA)
Iowa State University,"Blair, Matt",1974,1985,LB,6' 5'',240,Hilo,HI,USA,"Colonel White (Dayton, OH)"
Iowa State University,"Blue, Luther",1977,1980,WR,5' 11'',185,Valdosta,GA,USA,Valdosta (GA)
Iowa State University,"Branch, Calvin",1997,2000,CB/S,5' 11'',197,Lexington,KY,USA,"Klein (Spring, TX)"
Iowa State University,"Brettschneider, Carl",1956,1963,LB,6' 1'',223,Dundee,IL,USA,Dundee (IL)
Iowa State University,"Campbell, Stan",1952,1962,G/OG,6' 0'',226,Rochelle,IL,USA,Rochelle Township (IL)
Iowa State University,"Campbell, Tommy",1976,1976,CB,6' 0'',188,Queens,NY,USA,Uniondale (NY)
Iowa State University,"Carlson, Dean",1974,1974,QB,6' 3'',210,Rushford,MN,USA,Rushford (MN)
Iowa State University,"Carwell, Larry",1967,1972,CB,6' 1'',191,Vada,GA,USA,"Memorial (Campbell, OH)"
Iowa State University,"Clay, Ozzie",1964,1964,S,6' 0'',190,Hickory,NC,USA,"Ridgeview (Hickory, NC)"
Iowa State University,"Crisler, Hal",1946,1950,E,6' 4'',215,Richmond,CA,USA,
Iowa State University,"Crutchfield, Dwayne",1982,1984,FB/RB,6' 0'',240,Cincinnati,OH,USA,"North George HIll (Cincinnati, OH)"
Iowa State University,"Curran, Pat",1969,1978,LB/RB/TE,6' 3'',238,Milwaukee,WI,USA,"Solomon Juneau (Milwaukee, WI)"
Iowa State University,"Davis, Troy",1997,1999,RB,5' 7'',191,Miami,FL,USA,"Southbridge (Miami, FL)"
Iowa State University,"Dixon, Al",1977,1984,TE,6' 5'',230,Drew,MS,USA,East St. Louis (IL)
Iowa State University,"Dobbins, Tim",2006,2010,LB,6' 1'',246,Nashville,,,
Iowa State University,"Doran, Jim",1951,1961,DE/OE/SB,6' 2'',201,Boone,IA,USA,Beaver (IA)
Iowa State University,"Doxzon, Todd",1998,1998,QB,6' 0'',190,Sioux City,IA,USA,"Millard Smith (Omaha, NE)"
Iowa State University,"Espinoza, Alex",1987,1987,QB,6' 1'',193,Los Angeles,CA,USA,"St. Paul (East Los Angeles, CA)"
Iowa State University,"Fitzgerald, Mike",1966,1967,CB/DB,5' 10'',180,Detroit,MI,USA,Highland Park (MI)
Iowa State University,"Gibson, Dennis",1987,1995,LB,6' 2'',240,Des Moines,IA,USA,Ankerny (IA)
Iowa State University,"Goodburn, Kelly",1987,1993,P,6' 2'',195,Cherokee,IA,USA,"Eastwood (Correctionville, IA)"
Iowa State University,"Hardeman, Buddy",1979,1980,RB,6' 0'',196,Auburn,NY,USA,Auburn (NY)
Iowa State University,"Harris, Ike",1975,1981,WR,6' 3'',207,West Memphis,AR,USA,West Memphis (AR)
Iowa State University,"Hayward, Reggie",2001,2009,DE,6' 5'',265,Chicago,IL,USA,"Thornbridge (Dolton, IL)"
Iowa State University,"Heileman, Charlie",1939,1939,E,6' 2'',197,Fort Dodge,IA,USA,Fort Dodge (IA)
Iowa State University,"Henke, Brad",1989,1989,DE/NT,6' 3'',275,Columbus,NE,USA,"Heritage (Littleton, CO)"
Iowa State University,"Hicks, LaMarcus",2007,2008,DB,6' 0'',189,Clarksdale,MS,USA,
Iowa State University,"Hill, Barry",1975,1976,S,6' 3'',185,Elgin Air Force Base,FL,USA,"Craver (Daytona Beach, FL)"
Iowa State University,"Hobbs, Ellis",2005,2010,DB,5' 8'',188,Niagara Falls,,,DeSoto (TX)
Iowa State University,"Jackson, Andrew",1987,1987,RB,5' 10'',190,Los Angeles,CA,USA,"Manual Arts (Los Angeles, CA)"
Iowa State University,"Jasper, Vince",1987,1987,OG,6' 4'',270,Hawarden,IA,USA,"Burke (Omaha, NE)"
Iowa State University,"Jensen, Bob",1948,1950,E,6' 2'',220,Chicago,IL,USA,"Lane Tech (Chicago, IL)"
Iowa State University,"Johnson, Dan",1983,1987,TE,6' 3'',240,Minneapolis,MN,USA,"Cooper (New Hope, MN)"
Iowa State University,"Kasparek, Dick",1966,1968,C,6' 3'',242,St. Peter,MN,USA,LeSuer (MN)
Iowa State University,"Krakau, Merv",1973,1978,LB,6' 2'',237,Jefferson,IA,USA,Guthrie Center (IA)
Iowa State University,"Krepfle, Keith",1975,1982,TE,6' 3'',226,Dubuque,IA,USA,Potosi (WI)
Iowa State University,"Lamson, Chuck",1962,1967,S,6' 0'',189,Webster City,IA,USA,Ames (IA)
Iowa State University,"Liter, Greg",1987,1987,DE,6' 6'',275,Wausau,WI,USA,Mosinee (WI)
Iowa State University,"Longstreet, Roy",1926,1926,C,5' 11'',185,Sioux Falls,SD,USA,Sioux Falls (SD)
Iowa State University,"Loyd, Jeremy",2003,2005,LB,6' 2'',235,Pittsburg,TX,USA,Pittsburgh (TX)
Iowa State University,"Manning, Aaron",1987,1987,CB,5' 10'',178,Jersey City,NJ,USA,"James J. Ferris (Jersey City, NJ)"
Iowa State University,"Mayer, Frank",1927,1927,G/T,5' 11'',215,Glencoe,MN,USA,Glencoe (MN)
Iowa State University,"McCurry, Dave",1974,1974,S,6' 1'',187,Grinnell,IA,USA,Grinell (IA)
Iowa State University,"Moore, Kelvin",1998,1998,S,6' 0'',203,Los Angeles,CA,USA,"Hamilton (Los Angeles, CA)"
Iowa State University,"Moses, J.J.",2002,2005,WR,5' 6'',178,Waterloo,IA,USA,Waterloo (IA)
Iowa State University,"Muelhaupt, Ed",1960,1961,OG,6' 3'',230,Canton,OH,USA,"Dowling (West Des Moines, IA)"
Iowa State University,"Neil, Kenny",1981,1987,DE/DT,6' 4'',249,Cincinnati,OH,USA,"Aiken (Cincinnati, OH)"
Iowa State University,"Nelson, Karl",1984,1988,OT,6' 6'',285,DeKalb,IL,USA,DeKalb (IL)
Iowa State University,"Nelson, Mark",1987,1987,T,6' 4'',270,Grand Forks,ND,USA,"Thomas Jefferson (Bloomington, MN)"
Iowa State University,"Norman, Tony",1987,1987,DE,6' 5'',270,Atlanta,GA,USA,"George Washington Carver (Atlanta, GA)"
Iowa State University,"Randall, Tom",1978,1979,DT/G,6' 5'',245,Mason City,IA,USA,Mason City (IA)
Iowa State University,"Reed, James",2001,2007,DT,6' 0'',286,Saginaw,MI,USA,Saginaw (MI)
Iowa State University,"Reeve, Lew",1920,1920,T,5' 10'',193,Hampton,IA,USA,Hampton (IA)
Iowa State University,"Reimers, Bruce",1984,1993,G/OG/OT/T,6' 7'',285,Algona,IA,USA,Humboldt (IA)
Iowa State University,"Remmert, Dennis",1960,1960,LB,6' 3'',215,Traer,IA,USA,Mason City (IA)
Iowa State University,"Roberts, Guy",1926,1927,FB/HB/QB,5' 8'',175,Schaler,IA,USA,
Iowa State University,"Robertson, Marcus",1991,2002,CB/S,5' 11'',206,Pasadena,CA,USA,"John Muir (Pasadena, CA)"
Iowa State University,"Rosenfels, Sage",2002,2010,QB,6' 4'',222,Maquoketa,,,Maquoketa (IA)
Iowa State University,"Ross, Oliver",1998,2006,OT,6' 5'',300,Los Angeles,CA,USA,"Washington (Los Angeles, CA)"
Iowa State University,"Rowell, Gene",1987,1987,DT,6' 3'',265,San Diego,CA,USA,Fennimore (WI)
Iowa State University,"Rubin, Ahtyba",2008,2010,DT,6' 2'',330,Fort Belvoir,,,"Escambia HS (Pensacola, FL)"
Iowa State University,"Shugart, Clyde",1939,1944,G/T,6' 2'',220,Elaborn,IA,USA,Ames (IA)
Iowa State University,"Sims, Keith",1990,2000,G/OG,6' 3'',318,Baltimore,MD,USA,"Watchung Hills (Warren, NJ)"
Iowa State University,"Smith, Tyson",2006,2008,LB,6' 2'',240,Des Moines,IA,USA,
Iowa State University,"Stensrud, Mike",1979,1989,DE/DT/MG/NT,6' 5'',280,Forest City,IA,USA,Lake Mills (IA)
Iowa State University,"Stowe, Otto",1971,1974,WR,6' 2'',188,Chicago,IL,USA,"Feithans (Springfield, IL)"
Iowa State University,"Strachan, Mike",1975,1980,HB/RB,6' 0'',199,Miami,FL,USA,"Jackson (Miami, FL)"
Iowa State University,"Strand, Eli",1966,1967,G,6' 2'',250,Mount Vernon,NY,USA,Tuckahoe (NY)
Iowa State University,"Thornburg, Al",1926,1926,C,5' 10'',170,Dallas,IA,USA,
Iowa State University,"Van Galder, Tim",1972,1972,QB,6' 1'',190,Racine,WI,USA,"West (Madison, WI)"
Iowa State University,"Vanderloo, Viv",1921,1921,FB,5' 10'',191,Coon Rapids,IA,USA,Coon Rapids (IA)
Iowa State University,"Vaughn, Tommy",1965,1971,DB/DHB/S,5' 11'',192,Troy,OH,USA,Troy (OH)
Iowa State University,"Wallace, Seneca",2003,2010,QB,5' 11'',196,Sacramento,,,"Rancho Cordova (Sacramento, CA)"
Iowa State University,"Walton, Chuck",1967,1974,G/OG,6' 3'',253,Shattuck,OK,USA,Canon City (CO)
Iowa State University,"Washington, Chris",1984,1990,LB,6' 4'',231,Jackson,MS,USA,"Percy L. Julian (Chicago, IL)"
Iowa State University,"Watkins, Tommy",1961,1968,OHB/RB,6' 1'',195,West Memphis,AR,USA,West Memphis (AR)
Iowa State University,"Webb, Don",1961,1971,CB/DB/FL/S,5' 10'',196,Jefferson City,MO,USA,Jefferson City (MO)
Iowa State University,"Williams, Gene",1991,1999,G/OG/OT,6' 2'',320,Blair,NE,USA,"Creighton Prep (Omaha, NE)"
Iowa State University,"Williams, Kevin",1985,1988,CB,5' 9'',170,San Diego,CA,USA,"Crawford (San Diego, CA)"
Iowa State University,"Young, Randy",1976,1976,T,6' 5'',250,Montgomery,AL,USA,"Carol City (Miami, FL)"
Iowa Wesleyan College,"Sandberg, Sandy",1934,1937,FB/G/T,6' 2'',228,Eddyville,IA,USA,
Isothermal Community College,"Howard, Percy",1975,1975,WR,6' 4'',210,Savannah,GA,USA,"Dillard (Fort Lauderdale, FL)"
Itawamba Community College,"Bowens, Tim",1994,2004,DT,6' 4'',320,Okolona,MS,USA,Okolona (MS)
Itawamba Community College,"Dixon, Ron",2000,2002,WR,6' 0'',190,Wildwood,FL,USA,Wildwood (FL)
Itawamba Community College,"Dye, Ernest",1993,1997,OG/OT/T,6' 6'',325,Greenwood,SC,USA,Greenwood (SC)
Itawamba Community College,"Ferguson, Jason",1997,2009,DT,6' 3'',305,Nettleton,MS,USA,Nettleton (MS)
Itawamba Community College,"Franklin, Aubrayo",2003,2010,DT,6' 1'',307,Johnson City,,,"Science Hill (Johnson City, TN)"
Itawamba Community College,"Grice, Shane",2001,2001,G,6' 1'',300,Tupelo,MS,USA,Shannon (MS)
Itawamba Community College,"Hand, Norman",1996,2004,DT,6' 3'',310,Queens,NY,USA,Walterboro (SC)
Itawamba Community College,"Horn, Joe",1996,2007,WR,6' 1'',206,New Haven,CT,USA,"Douglas Bird (Fayetteville, NC)"
Itawamba Community College,"Middlebrook, Oren",1978,1978,WR,6' 2'',185,Aberdeen,MS,USA,Aberdeen (MS)
Itawamba Community College,"Murphy, Frank",2000,2004,WR,6' 0'',206,Jacksonville,FL,USA,"West Nassau (Callahan, FL)"
Itawamba Community College,"Rouse, Wardell",1995,1995,LB,6' 2'',231,Clewiston,FL,USA,Clewiston (FL)
Itawamba Community College,"Staley, Duce",1997,2006,RB,5' 11'',217,Tampa,FL,USA,"Airport (Columbia, SC)"
ITESM Monterey,"Cantu, Rolando",2005,2005,OT,6' 5'',361,Monterey,,,
ITT Technical Institute - Richmond,"Breeden, Louis",1978,1987,CB,5' 11'',185,Hamlet,NC,USA,Hamlet (NC)
Jackson State University,"Anderson, Rashard",2000,2001,CB/DB,6' 2'',204,Forest,MS,USA,Forest (MS)
Jackson State University,"Austin, Eric",1996,1996,S,5' 10'',217,Moss Point,MS,USA,Moss Point (MS)
Jackson State University,"Bacon, Coy",1968,1981,DE/DT,6' 4'',269,Cadiz,KY,USA,Ironton (OH)
Jackson State University,"Barkum, Jerome",1972,1983,TE/WR,6' 3'',218,Gulfport,MS,USA,"33rd Avenue (Gulfport, MS)"
Jackson State University,"Barnett, Buster",1981,1984,TE,6' 5'',230,Macon,MS,USA,"Noxubee (Macon, MS)"
Jackson State University,"Barnett, Tim",1991,1993,WR,6' 1'',209,Gunnison,MS,USA,Rosedale (MS)
Jackson State University,"Barney, Lem",1967,1977,CB/P,6' 1'',189,Gulfport,MS,USA,"33rd Avenue (Gulfport, MS)"
Jackson State University,"Bennett, Roy",1988,1989,CB/S,6' 2'',195,Birmingham,AL,USA,"West End (Birmingham, AL)"
Jackson State University,"Biggs, Verlon",1965,1974,DE/DT,6' 4'',267,Moss Point,MS,USA,Moss Point (MS)
Jackson State University,"Bradford, Corey",1998,2006,WR,6' 1'',198,Baton Rouge,LA,USA,Clinton (LA)
Jackson State University,"Brazile, Robert",1975,1984,LB,6' 4'',238,Mobile,AL,USA,"Vigor (Mobile, AL)"
Jackson State University,"Bullard, Louis",1978,1980,OT/T,6' 6'',265,Herando,MS,USA,Horn Lake (MS)
Jackson State University,"Burkett, Chris",1985,1993,WR,6' 4'',198,Laurel,MS,USA,Collins (MS)
Jackson State University,"Carr, Reggie",1987,1987,DE,6' 3'',300,Meridian,MS,USA,Meridian (MS)
Jackson State University,"Caster, Rich",1970,1982,TE/WR,6' 5'',228,Mobile,AL,USA,"Williamson (Mobile, AL)"
Jackson State University,"Coleman, Al",1967,1973,CB/S,6' 1'',185,Gulfport,MS,USA,"Jim Hill (Jackson, MS)"
Jackson State University,"Conner, Darion",1990,1997,DE/LB,6' 2'',250,Macon,GA,USA,"Noxubee County (Macon, GA)"
Jackson State University,"Cowan, Larry",1982,1982,RB,5' 11'',194,Mobile,AL,USA,"Blount (Prichard, AL)"
Jackson State University,"Curtis, Bobby",1987,1987,LB,6' 3'',235,Macon,GA,USA,"Jones County (Gray, GA)"
Jackson State University,"Dalton, Oakley",1977,1977,DT,6' 6'',285,Welch,WV,USA,Gary (WV)
Jackson State University,"Duncan, Speedy",1964,1974,CB/DB/S,5' 10'',177,Tuscaloosa,AL,USA,"Druid (Tuscaloosa, AL)"
Jackson State University,"Franklin, Larry",1978,1978,WR,6' 1'',185,Memphis,TN,USA,"Hamilton (Memphis, TN)"
