school,year,conference
Middle Tennessee State,1980,none
Middle Tennessee State,1981,none
Middle Tennessee State,1982,none
Middle Tennessee State,1983,none
Middle Tennessee State,1984,none
Middle Tennessee State,1985,none
Middle Tennessee State,1986,none
Middle Tennessee State,1987,none
Middle Tennessee State,1988,none
Middle Tennessee State,1989,none
Middle Tennessee State,1990,none
Middle Tennessee State,1991,none
Middle Tennessee State,1992,none
Middle Tennessee State,1993,none
Middle Tennessee State,1994,none
Middle Tennessee State,1995,none
Middle Tennessee State,1996,none
Middle Tennessee State,1997,none
Middle Tennessee State,1998,none
Middle Tennessee State,1999,independent
Middle Tennessee State,2000,independent
Middle Tennessee State,2001,sun-belt
Middle Tennessee State,2002,sun-belt
Middle Tennessee State,2003,sun-belt
Middle Tennessee State,2004,sun-belt
Middle Tennessee State,2005,sun-belt
Middle Tennessee State,2006,sun-belt
Middle Tennessee State,2007,sun-belt
Middle Tennessee State,2008,sun-belt
Middle Tennessee State,2009,sun-belt
Middle Tennessee State,2010,sun-belt
Middle Tennessee State,2011,sun-belt
Middle Tennessee State,2012,sun-belt
Middle Tennessee State,2013,cusa
Middle Tennessee State,2014,cusa
Middle Tennessee State,2015,cusa
Minnesota,1965,big-ten
Minnesota,1966,big-ten
Minnesota,1967,big-ten
Minnesota,1968,big-ten
Minnesota,1969,big-ten
Minnesota,1970,big-ten
Minnesota,1971,big-ten
Minnesota,1972,big-ten
Minnesota,1973,big-ten
Minnesota,1974,big-ten
Minnesota,1975,big-ten
Minnesota,1976,big-ten
Minnesota,1977,big-ten
Minnesota,1978,big-ten
Minnesota,1979,big-ten
Minnesota,1980,big-ten
Minnesota,1981,big-ten
Minnesota,1982,big-ten
Minnesota,1983,big-ten
Minnesota,1984,big-ten
Minnesota,1985,big-ten
Minnesota,1986,big-ten
Minnesota,1987,big-ten
Minnesota,1988,big-ten
Minnesota,1989,big-ten
Minnesota,1990,big-ten
Minnesota,1991,big-ten
Minnesota,1992,big-ten
Minnesota,1993,big-ten
Minnesota,1994,big-ten
Minnesota,1995,big-ten
Minnesota,1996,big-ten
Minnesota,1997,big-ten
Minnesota,1998,big-ten
Minnesota,1999,big-ten
Minnesota,2000,big-ten
Minnesota,2001,big-ten
Minnesota,2002,big-ten
Minnesota,2003,big-ten
Minnesota,2004,big-ten
Minnesota,2005,big-ten
Minnesota,2006,big-ten
Minnesota,2007,big-ten
Minnesota,2008,big-ten
Minnesota,2009,big-ten
Minnesota,2010,big-ten
Minnesota,2011,big-ten
Minnesota,2012,big-ten
Minnesota,2013,big-ten
Minnesota,2014,big-ten
Minnesota,2015,big-ten
Mississippi,1965,sec
Mississippi,1966,sec
Mississippi,1967,sec
Mississippi,1968,sec
Mississippi,1969,sec
Mississippi,1970,sec
Mississippi,1971,sec
Mississippi,1972,sec
Mississippi,1973,sec
Mississippi,1974,sec
Mississippi,1975,sec
Mississippi,1976,sec
Mississippi,1977,sec
Mississippi,1978,sec
Mississippi,1979,sec
Mississippi,1980,sec
Mississippi,1981,sec
Mississippi,1982,sec
Mississippi,1983,sec
Mississippi,1984,sec
Mississippi,1985,sec
Mississippi,1986,sec
Mississippi,1987,sec
Mississippi,1988,sec
Mississippi,1989,sec
Mississippi,1990,sec
Mississippi,1991,sec
Mississippi,1992,sec
Mississippi,1993,sec
Mississippi,1994,sec
Mississippi,1995,sec
Mississippi,1996,sec
Mississippi,1997,sec
Mississippi,1998,sec
Mississippi,1999,sec
Mississippi,2000,sec
Mississippi,2001,sec
Mississippi,2002,sec
Mississippi,2003,sec
Mississippi,2004,sec
Mississippi,2005,sec
Mississippi,2006,sec
Mississippi,2007,sec
Mississippi,2008,sec
Mississippi,2009,sec
Mississippi,2010,sec
Mississippi,2011,sec
Mississippi,2012,sec
Mississippi,2013,sec
Mississippi,2014,sec
Mississippi,2015,sec
Mississippi State,1965,sec
Mississippi State,1966,sec
Mississippi State,1967,sec
Mississippi State,1968,sec
Mississippi State,1969,sec
Mississippi State,1970,sec
Mississippi State,1971,sec
Mississippi State,1972,sec
Mississippi State,1973,sec
Mississippi State,1974,sec
Mississippi State,1975,sec
Mississippi State,1976,sec
Mississippi State,1977,sec
Mississippi State,1978,sec
Mississippi State,1979,sec
Mississippi State,1980,sec
Mississippi State,1981,sec
Mississippi State,1982,sec
Mississippi State,1983,sec
Mississippi State,1984,sec
Mississippi State,1985,sec
Mississippi State,1986,sec
Mississippi State,1987,sec
Mississippi State,1988,sec
Mississippi State,1989,sec
Mississippi State,1990,sec
Mississippi State,1991,sec
Mississippi State,1992,sec
Mississippi State,1993,sec
Mississippi State,1994,sec
Mississippi State,1995,sec
Mississippi State,1996,sec
Mississippi State,1997,sec
Mississippi State,1998,sec
Mississippi State,1999,sec
Mississippi State,2000,sec
Mississippi State,2001,sec
Mississippi State,2002,sec
Mississippi State,2003,sec
Mississippi State,2004,sec
Mississippi State,2005,sec
Mississippi State,2006,sec
Mississippi State,2007,sec
Mississippi State,2008,sec
Mississippi State,2009,sec
Mississippi State,2010,sec
Mississippi State,2011,sec
Mississippi State,2012,sec
Mississippi State,2013,sec
Mississippi State,2014,sec
Mississippi State,2015,sec
Missouri,1965,big-8
Missouri,1966,big-8
Missouri,1967,big-8
Missouri,1968,big-8
Missouri,1969,big-8
Missouri,1970,big-8
Missouri,1971,big-8
Missouri,1972,big-8
Missouri,1973,big-8
Missouri,1974,big-8
Missouri,1975,big-8
Missouri,1976,big-8
Missouri,1977,big-8
Missouri,1978,big-8
Missouri,1979,big-8
Missouri,1980,big-8
Missouri,1981,big-8
Missouri,1982,big-8
Missouri,1983,big-8
Missouri,1984,big-8
Missouri,1985,big-8
Missouri,1986,big-8
Missouri,1987,big-8
Missouri,1988,big-8
Missouri,1989,big-8
Missouri,1990,big-8
Missouri,1991,big-8
Missouri,1992,big-8
Missouri,1993,big-8
Missouri,1994,big-8
Missouri,1995,big-8
Missouri,1996,big-12
Missouri,1997,big-12
Missouri,1998,big-12
Missouri,1999,big-12
Missouri,2000,big-12
Missouri,2001,big-12
Missouri,2002,big-12
Missouri,2003,big-12
Missouri,2004,big-12
Missouri,2005,big-12
Missouri,2006,big-12
Missouri,2007,big-12
Missouri,2008,big-12
Missouri,2009,big-12
Missouri,2010,big-12
Missouri,2011,big-12
Missouri,2012,sec
Missouri,2013,sec
Missouri,2014,sec
Missouri,2015,sec
Navy,1965,independent
Navy,1966,independent
Navy,1967,independent
Navy,1968,independent
Navy,1969,independent
Navy,1970,independent
Navy,1971,independent
Navy,1972,independent
Navy,1973,independent
Navy,1974,independent
Navy,1975,independent
Navy,1976,independent
Navy,1977,independent
Navy,1978,independent
Navy,1979,independent
Navy,1980,independent
Navy,1981,independent
Navy,1982,independent
Navy,1983,independent
Navy,1984,independent
Navy,1985,independent
Navy,1986,independent
Navy,1987,independent
Navy,1988,independent
Navy,1989,independent
Navy,1990,independent
Navy,1991,independent
Navy,1992,independent
Navy,1993,independent
Navy,1994,independent
Navy,1995,independent
Navy,1996,independent
Navy,1997,independent
Navy,1998,independent
Navy,1999,independent
Navy,2000,independent
Navy,2001,independent
Navy,2002,independent
Navy,2003,independent
Navy,2004,independent
Navy,2005,independent
Navy,2006,independent
Navy,2007,independent
Navy,2008,independent
Navy,2009,independent
Navy,2010,independent
Navy,2011,independent
Navy,2012,independent
Navy,2013,independent
Navy,2014,independent
Navy,2015,american
Nebraska,1965,big-8
Nebraska,1966,big-8
Nebraska,1967,big-8
Nebraska,1968,big-8
Nebraska,1969,big-8
Nebraska,1970,big-8
Nebraska,1971,big-8
Nebraska,1972,big-8
Nebraska,1973,big-8
Nebraska,1974,big-8
Nebraska,1975,big-8
Nebraska,1976,big-8
Nebraska,1977,big-8
Nebraska,1978,big-8
Nebraska,1979,big-8
Nebraska,1980,big-8
Nebraska,1981,big-8
Nebraska,1982,big-8
Nebraska,1983,big-8
Nebraska,1984,big-8
Nebraska,1985,big-8
Nebraska,1986,big-8
Nebraska,1987,big-8
Nebraska,1988,big-8
Nebraska,1989,big-8
Nebraska,1990,big-8
Nebraska,1991,big-8
Nebraska,1992,big-8
Nebraska,1993,big-8
Nebraska,1994,big-8
Nebraska,1995,big-8
Nebraska,1996,big-12
Nebraska,1997,big-12
Nebraska,1998,big-12
Nebraska,1999,big-12
Nebraska,2000,big-12
Nebraska,2001,big-12
Nebraska,2002,big-12
Nebraska,2003,big-12
Nebraska,2004,big-12
Nebraska,2005,big-12
Nebraska,2006,big-12
Nebraska,2007,big-12
Nebraska,2008,big-12
Nebraska,2009,big-12
Nebraska,2010,big-12
Nebraska,2011,big-ten
Nebraska,2012,big-ten
Nebraska,2013,big-ten
Nebraska,2014,big-ten
Nebraska,2015,big-ten
Nevada,1965,none
Nevada,1966,none
Nevada,1967,none
Nevada,1968,none
Nevada,1969,none
Nevada,1970,none
Nevada,1971,none
Nevada,1972,none
Nevada,1973,none
Nevada,1974,none
Nevada,1975,none
Nevada,1976,none
Nevada,1977,none
Nevada,1978,none
Nevada,1979,none
Nevada,1980,none
Nevada,1981,none
Nevada,1982,none
Nevada,1983,none
Nevada,1984,none
Nevada,1985,none
Nevada,1986,none
Nevada,1987,none
Nevada,1988,none
Nevada,1989,none
Nevada,1990,none
Nevada,1991,none
Nevada,1992,big-west
Nevada,1993,big-west
Nevada,1994,big-west
Nevada,1995,big-west
Nevada,1996,big-west
Nevada,1997,big-west
Nevada,1998,big-west
Nevada,1999,big-west
Nevada,2000,wac
Nevada,2001,wac
Nevada,2002,wac
Nevada,2003,wac
Nevada,2004,wac
Nevada,2005,wac
Nevada,2006,wac
Nevada,2007,wac
Nevada,2008,wac
Nevada,2009,wac
Nevada,2010,wac
Nevada,2011,wac
Nevada,2012,mwc
Nevada,2013,mwc
Nevada,2014,mwc
Nevada,2015,mwc
Nevada-Las Vegas,1965,none
Nevada-Las Vegas,1966,none
Nevada-Las Vegas,1967,none
Nevada-Las Vegas,1968,none
Nevada-Las Vegas,1969,none
Nevada-Las Vegas,1970,none
Nevada-Las Vegas,1971,none
Nevada-Las Vegas,1972,none
Nevada-Las Vegas,1973,none
Nevada-Las Vegas,1974,none
Nevada-Las Vegas,1975,none
Nevada-Las Vegas,1976,none
Nevada-Las Vegas,1977,none
Nevada-Las Vegas,1978,independent
Nevada-Las Vegas,1979,independent
Nevada-Las Vegas,1980,independent
Nevada-Las Vegas,1981,independent
Nevada-Las Vegas,1982,big-west
Nevada-Las Vegas,1983,big-west
Nevada-Las Vegas,1984,big-west
Nevada-Las Vegas,1985,big-west
Nevada-Las Vegas,1986,big-west
Nevada-Las Vegas,1987,big-west
Nevada-Las Vegas,1988,big-west
Nevada-Las Vegas,1989,big-west
Nevada-Las Vegas,1990,big-west
Nevada-Las Vegas,1991,big-west
Nevada-Las Vegas,1992,big-west
Nevada-Las Vegas,1993,big-west
Nevada-Las Vegas,1994,big-west
Nevada-Las Vegas,1995,big-west
Nevada-Las Vegas,1996,wac
Nevada-Las Vegas,1997,wac
Nevada-Las Vegas,1998,wac
Nevada-Las Vegas,1999,mwc
Nevada-Las Vegas,2000,mwc
Nevada-Las Vegas,2001,mwc
Nevada-Las Vegas,2002,mwc
Nevada-Las Vegas,2003,mwc
Nevada-Las Vegas,2004,mwc
Nevada-Las Vegas,2005,mwc
Nevada-Las Vegas,2006,mwc
Nevada-Las Vegas,2007,mwc
Nevada-Las Vegas,2008,mwc
Nevada-Las Vegas,2009,mwc
Nevada-Las Vegas,2010,mwc
Nevada-Las Vegas,2011,mwc
Nevada-Las Vegas,2012,mwc
Nevada-Las Vegas,2013,mwc
Nevada-Las Vegas,2014,mwc
Nevada-Las Vegas,2015,mwc
New Mexico,1965,wac
New Mexico,1966,wac
New Mexico,1967,wac
New Mexico,1968,wac
New Mexico,1969,wac
New Mexico,1970,wac
New Mexico,1971,wac
New Mexico,1972,wac
New Mexico,1973,wac
New Mexico,1974,wac
New Mexico,1975,wac
New Mexico,1976,wac
New Mexico,1977,wac
New Mexico,1978,wac
New Mexico,1979,wac
New Mexico,1980,wac
New Mexico,1981,wac
New Mexico,1982,wac
New Mexico,1983,wac
New Mexico,1984,wac
New Mexico,1985,wac
New Mexico,1986,wac
New Mexico,1987,wac
New Mexico,1988,wac
New Mexico,1989,wac
New Mexico,1990,wac
New Mexico,1991,wac
New Mexico,1992,wac
New Mexico,1993,wac
New Mexico,1994,wac
New Mexico,1995,wac
New Mexico,1996,wac
New Mexico,1997,wac
New Mexico,1998,wac
New Mexico,1999,mwc
New Mexico,2000,mwc
New Mexico,2001,mwc
New Mexico,2002,mwc
New Mexico,2003,mwc
New Mexico,2004,mwc
New Mexico,2005,mwc
New Mexico,2006,mwc
New Mexico,2007,mwc
New Mexico,2008,mwc
New Mexico,2009,mwc
New Mexico,2010,mwc
New Mexico,2011,mwc
New Mexico,2012,mwc
New Mexico,2013,mwc
New Mexico,2014,mwc
New Mexico,2015,mwc
New Mexico State,1965,independent
New Mexico State,1966,independent
New Mexico State,1967,independent
New Mexico State,1968,independent
New Mexico State,1969,independent
New Mexico State,1970,independent
New Mexico State,1971,independent
New Mexico State,1972,mvc
New Mexico State,1973,mvc
New Mexico State,1974,mvc
New Mexico State,1975,mvc
New Mexico State,1976,mvc
New Mexico State,1977,mvc
New Mexico State,1978,mvc
New Mexico State,1979,mvc
New Mexico State,1980,mvc
New Mexico State,1981,mvc
New Mexico State,1982,mvc
New Mexico State,1983,mvc
New Mexico State,1984,big-west
New Mexico State,1985,big-west
New Mexico State,1986,big-west
New Mexico State,1987,big-west
New Mexico State,1988,big-west
New Mexico State,1989,big-west
New Mexico State,1990,big-west
New Mexico State,1991,big-west
New Mexico State,1992,big-west
New Mexico State,1993,big-west
New Mexico State,1994,big-west
New Mexico State,1995,big-west
New Mexico State,1996,big-west
New Mexico State,1997,big-west
New Mexico State,1998,big-west
New Mexico State,1999,big-west
New Mexico State,2000,big-west
New Mexico State,2001,sun-belt
New Mexico State,2002,sun-belt
New Mexico State,2003,sun-belt
New Mexico State,2004,sun-belt
New Mexico State,2005,wac
New Mexico State,2006,wac
New Mexico State,2007,wac
New Mexico State,2008,wac
New Mexico State,2009,wac
New Mexico State,2010,wac
New Mexico State,2011,wac
New Mexico State,2012,wac
New Mexico State,2013,independent
New Mexico State,2014,sun-belt
New Mexico State,2015,sun-belt
North Carolina State,1965,acc
North Carolina State,1966,acc
North Carolina State,1967,acc
North Carolina State,1968,acc
North Carolina State,1969,acc
North Carolina State,1970,acc
North Carolina State,1971,acc
North Carolina State,1972,acc
North Carolina State,1973,acc
North Carolina State,1974,acc
North Carolina State,1975,acc
North Carolina State,1976,acc
North Carolina State,1977,acc
North Carolina State,1978,acc
North Carolina State,1979,acc
North Carolina State,1980,acc
North Carolina State,1981,acc
North Carolina State,1982,acc
North Carolina State,1983,acc
North Carolina State,1984,acc
North Carolina State,1985,acc
North Carolina State,1986,acc
North Carolina State,1987,acc
North Carolina State,1988,acc
North Carolina State,1989,acc
North Carolina State,1990,acc
North Carolina State,1991,acc
North Carolina State,1992,acc
North Carolina State,1993,acc
North Carolina State,1994,acc
North Carolina State,1995,acc
North Carolina State,1996,acc
North Carolina State,1997,acc
North Carolina State,1998,acc
North Carolina State,1999,acc
North Carolina State,2000,acc
North Carolina State,2001,acc
North Carolina State,2002,acc
North Carolina State,2003,acc
North Carolina State,2004,acc
North Carolina State,2005,acc
North Carolina State,2006,acc
North Carolina State,2007,acc
North Carolina State,2008,acc
North Carolina State,2009,acc
North Carolina State,2010,acc
North Carolina State,2011,acc
North Carolina State,2012,acc
North Carolina State,2013,acc
North Carolina State,2014,acc
North Carolina State,2015,acc
North Carolina,1965,acc
North Carolina,1966,acc
North Carolina,1967,acc
North Carolina,1968,acc
North Carolina,1969,acc
North Carolina,1970,acc
North Carolina,1971,acc
North Carolina,1972,acc
North Carolina,1973,acc
North Carolina,1974,acc
North Carolina,1975,acc
North Carolina,1976,acc
North Carolina,1977,acc
North Carolina,1978,acc
North Carolina,1979,acc
North Carolina,1980,acc
North Carolina,1981,acc
North Carolina,1982,acc
North Carolina,1983,acc
North Carolina,1984,acc
North Carolina,1985,acc
North Carolina,1986,acc
North Carolina,1987,acc
North Carolina,1988,acc
North Carolina,1989,acc
North Carolina,1990,acc
North Carolina,1991,acc
North Carolina,1992,acc
North Carolina,1993,acc
North Carolina,1994,acc
North Carolina,1995,acc
North Carolina,1996,acc
North Carolina,1997,acc
North Carolina,1998,acc
North Carolina,1999,acc
North Carolina,2000,acc
North Carolina,2001,acc
North Carolina,2002,acc
North Carolina,2003,acc
North Carolina,2004,acc
North Carolina,2005,acc
North Carolina,2006,acc
North Carolina,2007,acc
North Carolina,2008,acc
North Carolina,2009,acc
North Carolina,2010,acc
North Carolina,2011,acc
North Carolina,2012,acc
North Carolina,2013,acc
North Carolina,2014,acc
North Carolina,2015,acc
North Texas,1965,mvc
North Texas,1966,mvc
North Texas,1967,mvc
North Texas,1968,mvc
North Texas,1969,mvc
North Texas,1970,mvc
North Texas,1971,mvc
North Texas,1972,mvc
North Texas,1973,mvc
North Texas,1974,mvc
North Texas,1975,independent
North Texas,1976,independent
North Texas,1977,independent
North Texas,1978,independent
North Texas,1979,independent
North Texas,1980,independent
North Texas,1981,independent
North Texas,1982,independent
North Texas,1983,none
North Texas,1984,none
North Texas,1985,none
North Texas,1986,none
North Texas,1987,none
North Texas,1988,none
North Texas,1989,none
North Texas,1990,none
North Texas,1991,none
North Texas,1992,none
North Texas,1993,none
North Texas,1994,none
North Texas,1995,independent
North Texas,1996,big-west
North Texas,1997,big-west
North Texas,1998,big-west
North Texas,1999,big-west
North Texas,2000,big-west
North Texas,2001,sun-belt
North Texas,2002,sun-belt
North Texas,2003,sun-belt
North Texas,2004,sun-belt
North Texas,2005,sun-belt
North Texas,2006,sun-belt
North Texas,2007,sun-belt
North Texas,2008,sun-belt
North Texas,2009,sun-belt
North Texas,2010,sun-belt
North Texas,2011,sun-belt
North Texas,2012,sun-belt
North Texas,2013,cusa
North Texas,2014,cusa
North Texas,2015,cusa
Northern Illinois,1965,none
Northern Illinois,1966,none
Northern Illinois,1967,none
Northern Illinois,1968,independent
Northern Illinois,1969,independent
Northern Illinois,1970,independent
Northern Illinois,1971,independent
Northern Illinois,1972,independent
Northern Illinois,1973,independent
Northern Illinois,1974,independent
Northern Illinois,1975,mac
Northern Illinois,1976,mac
Northern Illinois,1977,mac
Northern Illinois,1978,mac
Northern Illinois,1979,mac
Northern Illinois,1980,mac
Northern Illinois,1981,mac
Northern Illinois,1982,mac
Northern Illinois,1983,mac
Northern Illinois,1984,mac
Northern Illinois,1985,mac
Northern Illinois,1986,independent
Northern Illinois,1987,independent
Northern Illinois,1988,independent
Northern Illinois,1989,independent
Northern Illinois,1990,independent
Northern Illinois,1991,independent
Northern Illinois,1992,independent
Northern Illinois,1993,big-west
Northern Illinois,1994,big-west
Northern Illinois,1995,big-west
Northern Illinois,1996,independent
Northern Illinois,1997,mac
Northern Illinois,1998,mac
Northern Illinois,1999,mac
Northern Illinois,2000,mac
Northern Illinois,2001,mac
Northern Illinois,2002,mac
Northern Illinois,2003,mac
Northern Illinois,2004,mac
Northern Illinois,2005,mac
Northern Illinois,2006,mac
Northern Illinois,2007,mac
Northern Illinois,2008,mac
Northern Illinois,2009,mac
Northern Illinois,2010,mac
Northern Illinois,2011,mac
Northern Illinois,2012,mac
Northern Illinois,2013,mac
Northern Illinois,2014,mac
Northern Illinois,2015,mac
Northwestern,1965,big-ten
Northwestern,1966,big-ten
Northwestern,1967,big-ten
Northwestern,1968,big-ten
Northwestern,1969,big-ten
Northwestern,1970,big-ten
Northwestern,1971,big-ten
Northwestern,1972,big-ten
Northwestern,1973,big-ten
Northwestern,1974,big-ten
Northwestern,1975,big-ten
Northwestern,1976,big-ten
Northwestern,1977,big-ten
Northwestern,1978,big-ten
Northwestern,1979,big-ten
Northwestern,1980,big-ten
Northwestern,1981,big-ten
Northwestern,1982,big-ten
Northwestern,1983,big-ten
Northwestern,1984,big-ten
Northwestern,1985,big-ten
Northwestern,1986,big-ten
Northwestern,1987,big-ten
Northwestern,1988,big-ten
Northwestern,1989,big-ten
Northwestern,1990,big-ten
Northwestern,1991,big-ten
Northwestern,1992,big-ten
Northwestern,1993,big-ten
Northwestern,1994,big-ten
Northwestern,1995,big-ten
Northwestern,1996,big-ten
Northwestern,1997,big-ten
Northwestern,1998,big-ten
Northwestern,1999,big-ten
Northwestern,2000,big-ten
Northwestern,2001,big-ten
Northwestern,2002,big-ten
Northwestern,2003,big-ten
Northwestern,2004,big-ten
Northwestern,2005,big-ten
Northwestern,2006,big-ten
Northwestern,2007,big-ten
Northwestern,2008,big-ten
Northwestern,2009,big-ten
Northwestern,2010,big-ten
Northwestern,2011,big-ten
Northwestern,2012,big-ten
Northwestern,2013,big-ten
Northwestern,2014,big-ten
Northwestern,2015,big-ten
Notre Dame,1965,independent
Notre Dame,1966,independent
Notre Dame,1967,independent
Notre Dame,1968,independent
Notre Dame,1969,independent
Notre Dame,1970,independent
Notre Dame,1971,independent
Notre Dame,1972,independent
Notre Dame,1973,independent
Notre Dame,1974,independent
Notre Dame,1975,independent
Notre Dame,1976,independent
Notre Dame,1977,independent
Notre Dame,1978,independent
Notre Dame,1979,independent
Notre Dame,1980,independent
Notre Dame,1981,independent
Notre Dame,1982,independent
Notre Dame,1983,independent
Notre Dame,1984,independent
Notre Dame,1985,independent
Notre Dame,1986,independent
Notre Dame,1987,independent
Notre Dame,1988,independent
Notre Dame,1989,independent
Notre Dame,1990,independent
Notre Dame,1991,independent
Notre Dame,1992,independent
Notre Dame,1993,independent
Notre Dame,1994,independent
Notre Dame,1995,independent
Notre Dame,1996,independent
Notre Dame,1997,independent
Notre Dame,1998,independent
Notre Dame,1999,independent
Notre Dame,2000,independent
Notre Dame,2001,independent
Notre Dame,2002,independent
Notre Dame,2003,independent
Notre Dame,2004,independent
Notre Dame,2005,independent
Notre Dame,2006,independent
Notre Dame,2007,independent
Notre Dame,2008,independent
Notre Dame,2009,independent
Notre Dame,2010,independent
Notre Dame,2011,independent
Notre Dame,2012,independent
Notre Dame,2013,independent
Notre Dame,2014,acc
Notre Dame,2015,acc
Ohio,1965,mac
Ohio,1966,mac
Ohio,1967,mac
Ohio,1968,mac
Ohio,1969,mac
Ohio,1970,mac
Ohio,1971,mac
Ohio,1972,mac
Ohio,1973,mac
Ohio,1974,mac
Ohio,1975,mac
Ohio,1976,mac
Ohio,1977,mac
Ohio,1978,mac
Ohio,1979,mac
Ohio,1980,mac
Ohio,1981,mac
Ohio,1982,mac
Ohio,1983,mac
Ohio,1984,mac
Ohio,1985,mac
Ohio,1986,mac
Ohio,1987,mac
Ohio,1988,mac
Ohio,1989,mac
Ohio,1990,mac
Ohio,1991,mac
Ohio,1992,mac
Ohio,1993,mac
Ohio,1994,mac
Ohio,1995,mac
Ohio,1996,mac
Ohio,1997,mac
Ohio,1998,mac
Ohio,1999,mac
Ohio,2000,mac
Ohio,2001,mac
Ohio,2002,mac
Ohio,2003,mac
Ohio,2004,mac
Ohio,2005,mac
Ohio,2006,mac
Ohio,2007,mac
Ohio,2008,mac
Ohio,2009,mac
Ohio,2010,mac
Ohio,2011,mac
Ohio,2012,mac
Ohio,2013,mac
Ohio,2014,mac
Ohio,2015,mac
Ohio State,1965,big-ten
Ohio State,1966,big-ten
Ohio State,1967,big-ten
Ohio State,1968,big-ten
Ohio State,1969,big-ten
Ohio State,1970,big-ten
Ohio State,1971,big-ten
Ohio State,1972,big-ten
Ohio State,1973,big-ten
Ohio State,1974,big-ten
Ohio State,1975,big-ten
Ohio State,1976,big-ten
Ohio State,1977,big-ten
Ohio State,1978,big-ten
Ohio State,1979,big-ten
Ohio State,1980,big-ten
Ohio State,1981,big-ten
Ohio State,1982,big-ten
Ohio State,1983,big-ten
Ohio State,1984,big-ten
Ohio State,1985,big-ten
Ohio State,1986,big-ten
Ohio State,1987,big-ten
Ohio State,1988,big-ten
Ohio State,1989,big-ten
Ohio State,1990,big-ten
Ohio State,1991,big-ten
Ohio State,1992,big-ten
Ohio State,1993,big-ten
Ohio State,1994,big-ten
Ohio State,1995,big-ten
Ohio State,1996,big-ten
Ohio State,1997,big-ten
Ohio State,1998,big-ten
Ohio State,1999,big-ten
Ohio State,2000,big-ten
Ohio State,2001,big-ten
Ohio State,2002,big-ten
Ohio State,2003,big-ten
Ohio State,2004,big-ten
Ohio State,2005,big-ten
Ohio State,2006,big-ten
Ohio State,2007,big-ten
Ohio State,2008,big-ten
Ohio State,2009,big-ten
Ohio State,2010,big-ten
Ohio State,2011,big-ten
Ohio State,2012,big-ten
Ohio State,2013,big-ten
Ohio State,2014,big-ten
Ohio State,2015,big-ten
Oklahoma,1965,big-8
Oklahoma,1966,big-8
Oklahoma,1967,big-8
Oklahoma,1968,big-8
Oklahoma,1969,big-8
Oklahoma,1970,big-8
Oklahoma,1971,big-8
Oklahoma,1972,big-8
Oklahoma,1973,big-8
Oklahoma,1974,big-8
Oklahoma,1975,big-8
Oklahoma,1976,big-8
Oklahoma,1977,big-8
Oklahoma,1978,big-8
Oklahoma,1979,big-8
Oklahoma,1980,big-8
Oklahoma,1981,big-8
Oklahoma,1982,big-8
Oklahoma,1983,big-8
Oklahoma,1984,big-8
Oklahoma,1985,big-8
Oklahoma,1986,big-8
Oklahoma,1987,big-8
Oklahoma,1988,big-8
Oklahoma,1989,big-8
Oklahoma,1990,big-8
Oklahoma,1991,big-8
Oklahoma,1992,big-8
Oklahoma,1993,big-8
Oklahoma,1994,big-8
Oklahoma,1995,big-8
Oklahoma,1996,big-12
Oklahoma,1997,big-12
Oklahoma,1998,big-12
Oklahoma,1999,big-12
Oklahoma,2000,big-12
Oklahoma,2001,big-12
Oklahoma,2002,big-12
Oklahoma,2003,big-12
Oklahoma,2004,big-12
Oklahoma,2005,big-12
Oklahoma,2006,big-12
Oklahoma,2007,big-12
Oklahoma,2008,big-12
Oklahoma,2009,big-12
Oklahoma,2010,big-12
Oklahoma,2011,big-12
Oklahoma,2012,big-12
Oklahoma,2013,big-12
Oklahoma,2014,big-12
Oklahoma,2015,big-12
Oklahoma State,1965,big-8
Oklahoma State,1966,big-8
Oklahoma State,1967,big-8
Oklahoma State,1968,big-8
Oklahoma State,1969,big-8
Oklahoma State,1970,big-8
Oklahoma State,1971,big-8
Oklahoma State,1972,big-8
Oklahoma State,1973,big-8
Oklahoma State,1974,big-8
Oklahoma State,1975,big-8
Oklahoma State,1976,big-8
Oklahoma State,1977,big-8
Oklahoma State,1978,big-8
Oklahoma State,1979,big-8
Oklahoma State,1980,big-8
Oklahoma State,1981,big-8
Oklahoma State,1982,big-8
Oklahoma State,1983,big-8
Oklahoma State,1984,big-8
Oklahoma State,1985,big-8
Oklahoma State,1986,big-8
Oklahoma State,1987,big-8
Oklahoma State,1988,big-8
Oklahoma State,1989,big-8
Oklahoma State,1990,big-8
Oklahoma State,1991,big-8
Oklahoma State,1992,big-8
Oklahoma State,1993,big-8
Oklahoma State,1994,big-8
Oklahoma State,1995,big-8
Oklahoma State,1996,big-12
Oklahoma State,1997,big-12
Oklahoma State,1998,big-12
Oklahoma State,1999,big-12
Oklahoma State,2000,big-12
Oklahoma State,2001,big-12
Oklahoma State,2002,big-12
Oklahoma State,2003,big-12
Oklahoma State,2004,big-12
Oklahoma State,2005,big-12
Oklahoma State,2006,big-12
Oklahoma State,2007,big-12
Oklahoma State,2008,big-12
Oklahoma State,2009,big-12
Oklahoma State,2010,big-12
Oklahoma State,2011,big-12
Oklahoma State,2012,big-12
Oklahoma State,2013,big-12
Oklahoma State,2014,big-12
Oklahoma State,2015,big-12
Oregon,1965,pac-12
Oregon,1966,pac-12
Oregon,1967,pac-12
Oregon,1968,pac-12
Oregon,1969,pac-12
Oregon,1970,pac-12
